jawaban_user,label_kualitas
"Polusi ringan dari lalu lintas",Sedang
"Udara agak pengap",Sedang
"Langit tidak sepenuhnya cerah",Sedang
"Asap tipis terlihat",Sedang
"Debu halus terasa di hidung",Sedang
"Udara kurang nyaman",Sedang
"Polusi ringan siang hari",Sedang
"Kabut tipis menutupi area",Sedang
"Sedikit bau terbakar",Sedang
"Udara terasa lebih kotor",Sedang
"Debu ringan di jalan",Sedang
"Langit kusam tipis",Sedang
"Polusi ringan tercium",Sedang
"Ada asap ringan",Sedang
"Udara tidak segar sepenuhnya",Sedang
"Kabut tipis menyelimuti pagi",Sedang
"Debu halus mengganggu",Sedang
"Bau asap ringan sore hari",Sedang
"Langit kelabu ringan",Sedang
"Udara agak tercemar",Sedang
"Sedikit iritasi tenggorokan",Sedang
"Polusi ringan terasa",Sedang
"Kabut tipis sebentar",Sedang
"Asap tipis di udara",Sedang
"Udara terasa kurang bersih",Sedang
"Debu ringan beterbangan",Sedang
"Langit agak buram",Sedang
"Polusi ringan meningkat",Sedang
"Sedikit gangguan pernapasan",Sedang
"Ada bau asap tipis",Sedang
"Kabut ringan pagi hari",Sedang
"Udara agak berat",Sedang
"Debu halus di udara",Sedang
"Langit agak suram",Sedang
"Polusi ringan terasa jelas",Sedang
"Sedikit sesak ringan",Sedang
"Asap samar terlihat",Sedang
"Udara tidak terlalu sehat",Sedang
"Kabut tipis muncul kembali",Sedang
"Debu ringan terasa",Sedang
"Langit tidak cerah",Sedang
"Polusi ringan berlanjut",Sedang
"Sedikit batuk ringan",Sedang
"Ada bau asap samar",Sedang
"Udara agak pengap",Sedang
"Kabut tipis dan asap ringan",Sedang
"Debu kendaraan terasa",Sedang
"Langit agak kelabu",Sedang
"Polusi ringan di udara",Sedang
"Sedikit gangguan napas",Sedang
"Ada asap tipis",Sedang
"Udara kurang segar",Sedang
"Kabut ringan menyelimuti",Sedang
"Debu ringan terasa",Sedang
"Langit kusam",Sedang
"Asap tebal menyelimuti area, kabut pekat membuat sesak napas",Tidak Sehat
"Kabut asap sangat pekat, warga mengalami sesak napas",Tidak Sehat
"Asap bercampur kabut menyebabkan sesak napas parah",Tidak Sehat
"Udara penuh asap dan kabut, napas terasa sesak",Tidak Sehat
"Kabut asap ekstrem membuat sesak napas",Tidak Sehat
"Asap pekat terjebak kabut, warga sesak napas",Tidak Sehat
"Kabut tebal berisi asap menyebabkan sesak napas",Tidak Sehat
"Asap kebakaran bercampur kabut memicu sesak napas",Tidak Sehat
"Udara sangat berbahaya karena asap dan kabut, sesak napas",Tidak Sehat
"Asap menyengat dalam kabut membuat sesak napas",Tidak Sehat
"Kabut asap parah, sulit bernapas dan sesak napas",Tidak Sehat
"Asap hitam bercampur kabut menyebabkan sesak napas",Tidak Sehat
"Kabut dan asap pekat membuat dada sesak napas",Tidak Sehat
"Udara mencekik akibat asap dan kabut, sesak napas",Tidak Sehat
"Asap pekat tertahan kabut memicu sesak napas",Tidak Sehat
"Kabut asap ekstrem menyebabkan sesak napas warga",Tidak Sehat
"Asap tebal dan kabut membuat sesak napas parah",Tidak Sehat
"Kabut membawa asap beracun, sesak napas",Tidak Sehat
"Asap kendaraan terperangkap kabut menyebabkan sesak napas",Tidak Sehat
"Kabut asap pekat, napas sangat sesak",Tidak Sehat
"Asap menyelimuti kota, kabut tebal dan sesak napas",Tidak Sehat
"Kabut asap tidak hilang, warga sesak napas",Tidak Sehat
"Asap beracun bercampur kabut, sesak napas",Tidak Sehat
"Kabut tebal penuh asap membuat sesak napas",Tidak Sehat
"Asap pekat dan kabut menutup udara, sesak napas",Tidak Sehat
"Kabut asap parah menyebabkan gangguan napas",Tidak Sehat
"Asap kebakaran dan kabut membuat sesak napas",Tidak Sehat
"Kabut asap ekstrem sangat berbahaya dan sesak napas",Tidak Sehat
"Asap pekat dalam kabut membuat napas sesak",Tidak Sehat
"Kabut dan asap tidak sehat, sesak napas",Tidak Sehat
